conversation_id,title,create_time,update_time,default_model_slug,message_count,user_message_count,assistant_message_count,attachment_reference_count,is_archived,is_starred,memory_scope,source_chunk
005e11fe-2850-44ad-9832-dfb17a841e18,Birthday Celebration 🎉,2023-11-30T19:50:13.276867+00:00,2023-11-30T19:54:19.959407+00:00,,4,2,2,0,False,,global_enabled,conversations-000(2).json
01d66374-2c67-447c-b7c5-baaf58c5f268,Reschedule Lease Print,2024-03-01T22:01:44.364511+00:00,2024-03-01T22:02:47.077266+00:00,,6,3,3,0,False,,global_enabled,conversations-000(2).json
022f90e7-765a-4237-bfaa-4667b1957d1b,Focus Skill Sets Online Course,2024-06-14T11:20:28.920163+00:00,2024-06-14T11:20:30.884869+00:00,gpt-4o,2,1,1,0,False,,global_enabled,conversations-000(2).json
0351c684-c504-40c1-b542-c6fff020745d,Scientist Illustration in Pixar Style,2024-01-31T12:34:17.052997+00:00,2024-01-31T12:36:18.606404+00:00,,4,2,2,1,False,,global_enabled,conversations-000(2).json
03ba64f4-7534-4818-92f7-2b7c26e37519,No vape explosions.,2024-03-24T18:41:26.411024+00:00,2024-03-24T18:41:31.786944+00:00,gpt-4,2,1,1,0,False,,global_enabled,conversations-000(2).json
03deaa47-09e7-4dea-870a-23f872ab5504,New chat,2023-09-14T03:52:37.736271+00:00,2023-09-14T03:57:00+00:00,,11,5,6,0,False,,global_enabled,conversations-000(2).json
059f9bf1-8bca-4290-a106-13a85d4a187a,Google Trends: Trending Keywords,2023-10-05T23:09:10.603908+00:00,2023-10-10T14:52:47.772092+00:00,,2,1,1,0,False,,global_enabled,conversations-000(2).json
05f1e694-64d2-4d13-97ea-d9da9a35ef67,Boston & Hampton Marathon Routes,2023-12-17T00:15:33.880446+00:00,2023-12-17T00:25:02.005943+00:00,,7,3,4,0,False,,global_enabled,conversations-000(2).json
05f2c67b-fe51-45c6-bb4f-4b416c683d84,Catch-Up & Job Recommendation,2024-05-17T22:27:49.017321+00:00,2024-05-17T22:35:03.225632+00:00,gpt-4,4,2,2,0,False,,global_enabled,conversations-000(2).json
06d67163-8828-455b-a9e6-8a1d33055c5c,Job Posting Timeline Inquiry,2024-06-13T16:23:35.094502+00:00,2024-06-14T14:22:27.427638+00:00,gpt-4o,6,3,3,0,False,,global_enabled,conversations-000(2).json
085747be-08ec-4cce-a370-b2e75f453e03,"Forgot Chat, Share Video.",2024-04-21T18:25:00.923378+00:00,2024-04-21T18:25:13.597646+00:00,gpt-4,2,1,1,0,False,,global_enabled,conversations-000(2).json
09769486-b804-40a6-b352-939b68b9ed67,Sarcastic Flirty Help Joke,2024-08-27T01:13:09.393369+00:00,2024-08-27T22:49:06.569852+00:00,auto,10,5,5,0,False,,global_enabled,conversations-000(2).json
0a29e5a5-929b-4074-95df-8ec914a4bbf6,Taking a Break,2023-12-03T14:29:28.146725+00:00,2023-12-04T15:39:50.974743+00:00,,28,14,14,0,False,,global_enabled,conversations-000(2).json
0bcc2da9-b539-4951-baaf-76719840e961,Feel-Good Compliment.,2023-06-11T00:45:15.353130+00:00,2023-07-14T22:55:51+00:00,,59,29,30,0,False,,global_enabled,conversations-000(2).json
0cd27934-4e0a-4db3-b45d-4291118899e5,Cult of the Lamb,2024-03-17T01:38:13.180969+00:00,2024-03-17T01:38:42.881366+00:00,gpt-4,2,1,1,0,False,,global_enabled,conversations-000(2).json
0de6e720-9fd7-43ea-a014-11e73accebfc,.NET ResourceDictionary for XAML,2024-01-20T16:31:48.569297+00:00,2024-01-20T16:34:19.614823+00:00,,4,2,2,0,False,,global_enabled,conversations-000(2).json
0e3a2fd4-7848-4081-9577-94038a4c259f,New chat,2024-03-01T18:09:35.603726+00:00,2024-03-01T18:09:35.706081+00:00,,1,1,0,1,False,,global_enabled,conversations-000(2).json
0faad3f6-a4cc-4a47-a054-af67668387e2,Automate Daily Email Python,2024-05-27T02:32:28.291185+00:00,2024-05-27T02:37:30.498144+00:00,gpt-4o,8,4,4,0,False,,global_enabled,conversations-000(2).json
10fa9b1b-a4e6-4283-a80a-6413fedb34fc,Different Ways to Say Happy Birthday,2024-03-06T16:19:16.567585+00:00,2024-03-06T16:19:34.451012+00:00,,2,1,1,0,False,,global_enabled,conversations-000(2).json
116d2057-7977-42f9-9859-290bd19f7e7d,Custom TextBox Style Improvement,2024-02-14T13:42:21.700287+00:00,2024-02-14T13:43:41.014218+00:00,,2,1,1,0,False,,global_enabled,conversations-000(2).json
1371f92f-5672-4c68-a24a-a40851a0d967,Skateboard Riding Instructions.,2023-06-29T00:54:13.011630+00:00,2023-06-29T00:54:23+00:00,,2,1,1,0,False,,global_enabled,conversations-000(2).json
17b0fafd-133c-4b2f-964c-ceb6374afbde,Flirtatious Left-Handed Discovery,2023-08-08T00:44:30.079562+00:00,2023-08-08T00:45:38+00:00,,6,3,3,0,False,,global_enabled,conversations-000(2).json
17cd88b0-3b38-4951-ac46-10e22e944c74,Appreciative Response to Offer,2024-07-17T20:43:16.492172+00:00,2024-07-19T14:36:17.459867+00:00,auto,10,5,5,0,False,,global_enabled,conversations-000(2).json
